"AREA_TYPE","GLOBALID","PM_DISTRICT_ID","PM_DISTRICT_NAME","SDE_ID","shape"
"-",,"39.0","Lower Haight","10","MULTIPOLYGON (((-122.43246 37.772125, -122.43244 37.772133, -122.428604 37.77264, -122.428444 37.771957, -122.4323 37.771465, -122.43246 37.772125)))"
"Pilot",,"7.0","Marina","36","MULTIPOLYGON (((-122.437355 37.801758, -122.43714 37.800957, -122.4361 37.801094, -122.435905 37.800102, -122.43424 37.800297, -122.43383 37.79812, -122.43394 37.798107, -122.43408 37.798088, -122.435455 37.79792, -122.43567 37.79802, -122.435844 37.79787, -122.43745 37.797676, -122.43775 37.799225, -122.44418 37.798435, -122.44451 37.80012, -122.441315 37.80053, -122.441185 37.80055, -122.44043 37.800644, -122.44033 37.80066, -122.43964 37.800747, -122.439674 37.8011, -122.43878 37.80127, -122.43825 37.80162, -122.437355 37.801758)))"
"-",,"47.0","Marina 2","24","MULTIPOLYGON (((-122.43162 37.805244, -122.43138 37.803574, -122.4257 37.80433, -122.42478 37.799564, -122.43218 37.798615, -122.43214 37.79833, -122.4323 37.79831, -122.432434 37.79829, -122.43383 37.79812, -122.43424 37.800297, -122.435905 37.800102, -122.4361 37.801094, -122.43714 37.800957, -122.437355 37.801758, -122.43825 37.80162, -122.43878 37.80127, -122.439674 37.8011, -122.43964 37.800747, -122.44033 37.80066, -122.44043 37.800644, -122.441185 37.80055, -122.441315 37.80053, -122.44451 37.80012, -122.44418 37.798435, -122.44744 37.798023, -122.44806 37.800804, -122.449936 37.802547, -122.44933 37.804726, -122.45012 37.807484, -122.43288 37.809574, -122.43162 37.805244)))"
"-",,"21.0","Middle Richmond","8","MULTIPOLYGON (((-122.471794 37.778515, -122.48803 37.777767, -122.48818 37.779556, -122.48853 37.7839, -122.48131 37.78424, -122.47218 37.784664, -122.471794 37.778515)))"
"Pilot",,"4.0","Mission","34","MULTIPOLYGON (((-122.41751 37.7669, -122.417175 37.763412, -122.4162 37.75322, -122.41611 37.752285, -122.41615 37.75228, -122.41618 37.75228, -122.41784 37.75218, -122.41784 37.75218, -122.41789 37.752174, -122.42079 37.752, -122.42202 37.7648, -122.42423 37.764664, -122.42441 37.766483, -122.42216 37.76662, -122.42212 37.766624, -122.42188 37.766636, -122.42188 37.766636, -122.41751 37.766903, -122.41751 37.7669)))"
"-",,"41.0","Mission-Potrero","3","MULTIPOLYGON (((-122.4153 37.753265, -122.4162 37.75322, -122.417175 37.763412, -122.413765 37.763706, -122.41201 37.764038, -122.40728 37.76444, -122.40548 37.764538, -122.40548 37.764534, -122.40553 37.76323, -122.40572 37.762253, -122.40648 37.761333, -122.40662 37.76047, -122.406395 37.758827, -122.4072 37.758797, -122.40666 37.753704, -122.40821 37.753624, -122.40832 37.75362, -122.40911 37.75358, -122.409294 37.75357, -122.41009 37.75353, -122.410194 37.753525, -122.41099 37.753483, -122.41109 37.75348, -122.41189 37.753437, -122.41206 37.75343, -122.41302 37.75338, -122.41312 37.753376, -122.41519 37.75327, -122.4153 37.753265)))"
"-",,"12.0","N.Beach-Chinatown","50","MULTIPOLYGON (((-122.4021 37.80317, -122.40209 37.803127, -122.40204 37.803135, -122.40188 37.803154, -122.40156 37.8032, -122.40074 37.80227, -122.40057 37.801506, -122.40056 37.801456, -122.40038 37.80065, -122.40035 37.80053, -122.40015 37.799587, -122.39994 37.79961, -122.39977 37.79888, -122.39932 37.798935, -122.39946 37.799656, -122.39946 37.79966, -122.399 37.79972, -122.39883 37.798946, -122.39882 37.79891, -122.39879 37.798763, -122.39767 37.798874, -122.3967 37.797783, -122.3967 37.797783, -122.396965 37.79741, -122.396965 37.79741, -122.39818 37.79727, -122.3983 37.797096, -122.3983 37.797096, -122.39865 37.79722, -122.39865 37.79722, -122.39926 37.79714, -122.39936 37.79702, -122.399376 37.797005, -122.39944 37.796936, -122.39944 37.796936, -122.399826 37.79704, -122.399826 37.79704, -122.4005 37.796963, -122.40068 37.79674, -122.40068 37.79674, -122.40095 37.796925, -122.40095 37.796925, -122.401695 37.796833, -122.40183 37.796577, -122.40183 37.796577, -122.40211 37.796757, -122.40211 37.796757, -122.40328 37.796623, -122.40351 37.79644, -122.40365 37.796467, -122.40436 37.796375, -122.40452 37.796356, -122.40527 37.796257, -122.405266 37.796238, -122.40526 37.796158, -122.40513 37.795456, -122.40596 37.79535, -122.40603 37.795265, -122.406044 37.795254, -122.40605 37.79524, -122.40605 37.79524, -122.40607 37.79525, -122.40608 37.79526, -122.406166 37.79532, -122.406166 37.79532, -122.406364 37.79529, -122.406654 37.794952, -122.40654 37.794403, -122.40629 37.794254, -122.40646 37.794044, -122.40635 37.793476, -122.4061 37.793392, -122.40629 37.793213, -122.406166 37.792625, -122.40588 37.792477, -122.40608 37.792236, -122.40596 37.791626, -122.405846 37.791546, -122.40584 37.79154, -122.40574 37.791466, -122.40588 37.79129, -122.40578 37.790752, -122.408966 37.79036, -122.408966 37.79036, -122.40932 37.791798, -122.410774 37.791603, -122.41094 37.792168, -122.409775 37.79232, -122.41072 37.79718, -122.410774 37.797443, -122.41143 37.800816, -122.41538 37.80358, -122.4147 37.80367, -122.412445 37.802242, -122.41102 37.80241, -122.41082 37.801468, -122.40757 37.801846, -122.406784 37.79816, -122.40259 37.798733, -122.40284 37.80022, -122.40284 37.80022, -122.402855 37.800323, -122.402855 37.800323, -122.40346 37.803886, -122.40346 37.803886, -122.403404 37.803894, -122.40324 37.803913, -122.40229 37.80402, -122.40213 37.803288, -122.4021 37.80317)))"
"-",,"28.0","Noe Valley","4","MULTIPOLYGON (((-122.43405 37.749958, -122.43508 37.749912, -122.435234 37.75117, -122.43525 37.75128, -122.43531 37.751793, -122.43422 37.751854, -122.43406 37.751865, -122.432 37.75198, -122.43185 37.75199, -122.42979 37.75211, -122.42963 37.752117, -122.42865 37.752174, -122.42854 37.75218, -122.427574 37.752235, -122.42739 37.752243, -122.42575 37.75234, -122.425514 37.750343, -122.43385 37.749966, -122.43405 37.749958)))"
"-",,"25.0","Noriega","42","MULTIPOLYGON (((-122.49149 37.752834, -122.49171 37.752827, -122.49178 37.754364, -122.49173 37.754364, -122.4916 37.75437, -122.49146 37.754375, -122.490524 37.75441, -122.49039 37.754414, -122.48945 37.754448, -122.48931 37.75445, -122.47874 37.75483, -122.47859 37.754833, -122.47768 37.754868, -122.477516 37.75487, -122.47652 37.754906, -122.47643 37.75325, -122.477394 37.753223, -122.477554 37.75322, -122.47848 37.753193, -122.47862 37.75319, -122.47955 37.753162, -122.47969 37.75316, -122.4892 37.752895, -122.48934 37.75289, -122.49028 37.75287, -122.49042 37.752865, -122.491356 37.75284, -122.49149 37.752834)))"
"-",,"31.0","Ocean - 19th","44","MULTIPOLYGON (((-122.47801 37.730534, -122.47567 37.73315, -122.47262 37.73208, -122.46947 37.731995, -122.469444 37.730667, -122.46694 37.729702, -122.468704 37.72835, -122.47172 37.729855, -122.47801 37.730534)))"
"-",,"36.0","Ocean East","6","MULTIPOLYGON (((-122.45265 37.723614, -122.452995 37.72245, -122.46016 37.72382, -122.4603 37.723846, -122.46033 37.72385, -122.46457 37.725468, -122.464645 37.72552, -122.46409 37.72658, -122.45617 37.724525, -122.45265 37.723614)))"
"-",,"29.0","Outer Mission","18","MULTIPOLYGON (((-122.42054 37.7427, -122.42133 37.741375, -122.421364 37.74132, -122.42264 37.739197, -122.42366 37.734753, -122.42552 37.73495, -122.42486 37.740475, -122.42503 37.741493, -122.42733 37.741375, -122.42738 37.74199, -122.42739 37.7421, -122.427444 37.742798, -122.42745 37.742893, -122.42751 37.74359, -122.42752 37.743702, -122.42754 37.744, -122.42324 37.744366, -122.42128 37.74864, -122.42079 37.752, -122.41789 37.752174, -122.41784 37.75218, -122.41784 37.75218, -122.41618 37.75228, -122.41615 37.75228, -122.41611 37.752285, -122.4162 37.75322, -122.4153 37.753265, -122.41519 37.75327, -122.41312 37.753376, -122.41302 37.75338, -122.41206 37.75343, -122.41189 37.753437, -122.41109 37.75348, -122.41099 37.753483, -122.410194 37.753525, -122.41009 37.75353, -122.409294 37.75357, -122.40911 37.75358, -122.40832 37.75362, -122.40821 37.753624, -122.40666 37.753704, -122.4072 37.758797, -122.406395 37.758827, -122.40598 37.75884, -122.40364 37.756775, -122.40309 37.752415, -122.40351 37.752045, -122.408035 37.75178, -122.40814 37.751774, -122.408936 37.751728, -122.40912 37.751717, -122.40991 37.75167, -122.41002 37.751667, -122.41081 37.75162, -122.41091 37.751614, -122.411705 37.751568, -122.41189 37.751556, -122.412834 37.751503, -122.41294 37.751495, -122.41389 37.751442, -122.41407 37.75143, -122.415016 37.751377, -122.415115 37.75137, -122.41514 37.75137, -122.415115 37.747707, -122.418655 37.745846, -122.420494 37.742775, -122.42054 37.7427)))"
"-",,"22.0","Outer Richmond","19","MULTIPOLYGON (((-122.49839 37.77482, -122.49995 37.774788, -122.50011 37.776787, -122.49854 37.77683, -122.4984 37.776833, -122.49747 37.77686, -122.49733 37.776867, -122.49639 37.776894, -122.496254 37.776897, -122.492615 37.777, -122.49245 37.774944, -122.497185 37.774845, -122.49732 37.77484, -122.49825 37.774822, -122.49839 37.77482)))"
"-",,"49.0","Point Lobos","51","MULTIPOLYGON (((-122.48853 37.7839, -122.48818 37.779556, -122.50096 37.778946, -122.503456 37.779457, -122.51108 37.779003, -122.510925 37.77644, -122.51038 37.77146, -122.510376 37.771408, -122.51099 37.771435, -122.510994 37.771435, -122.5138 37.771397, -122.51555 37.779545, -122.5139 37.786068, -122.50581 37.789433, -122.494415 37.789803, -122.486336 37.79099, -122.4815 37.787228, -122.48131 37.78424, -122.48853 37.7839)))"
"-",,"15.0","Polk","11","MULTIPOLYGON (((-122.420815 37.80006, -122.41894 37.790916, -122.41572 37.79134, -122.41537 37.789574, -122.415146 37.78847, -122.415146 37.78847, -122.41674 37.78827, -122.41674 37.788265, -122.41639 37.786476, -122.41639 37.786476, -122.41639 37.786346, -122.41639 37.786343, -122.416306 37.786175, -122.41575 37.78346, -122.41609 37.78364, -122.417366 37.783497, -122.41752 37.78327, -122.41772 37.7834, -122.41911 37.783237, -122.41928 37.78322, -122.42065 37.783054, -122.420685 37.78303, -122.42073 37.783005, -122.420845 37.78293, -122.420975 37.782967, -122.421 37.782974, -122.42109 37.783, -122.42404 37.78259, -122.42421 37.782566, -122.424255 37.782562, -122.4258 37.790203, -122.423355 37.79052, -122.42385 37.79287, -122.423874 37.79298, -122.424034 37.793755, -122.42406 37.79386, -122.42422 37.794636, -122.42424 37.794743, -122.424614 37.796494, -122.42464 37.796616, -122.4248 37.797367, -122.42393 37.79748, -122.42366 37.797516, -122.42366 37.797543, -122.42403 37.79966, -122.420815 37.80006)))"
